time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
6300,-590,52,784,76,-84,-92,32767,32767,32767
6390,-592,49,780,-145,319,-38,32767,32767,32767
6490,-620,32,748,-274,671,-143,32767,32767,32767
6590,-666,10,723,-18,246,59,32767,32767,32767
6690,-683,16,730,-63,157,93,32767,32767,32767
6790,-671,9,714,3,28,37,32767,32767,32767
7090,-601,10,780,-146,-158,29,32767,32767,32767
7190,-592,7,815,-1,-207,42,32767,32767,32767
7290,-553,27,786,-127,-114,-121,32767,32767,32767
7390,-600,-4,821,4,180,-57,32767,32767,32767
7490,-571,-3,839,-54,-574,-9,32767,32767,32767
7590,-514,0,826,-87,-567,82,32767,32767,32767
7690,-515,-4,847,55,188,-7,32767,32767,32767
7790,-534,8,834,-68,260,-18,32767,32767,32767
7890,-573,-1,838,-103,417,79,32767,32767,32767
7990,-607,-10,792,-141,368,-19,32767,32767,32767
8090,-621,-11,758,-51,529,39,32767,32767,32767
8190,-691,37,696,183,809,326,32767,32767,32767
8290,-724,51,666,65,473,106,32767,32767,32767
8390,-749,21,631,-139,170,-147,32767,32767,32767
8490,-767,31,583,45,1151,32,32767,32767,32767
8590,-831,32,489,30,1148,-216,32767,32767,32767
8690,-866,7,425,-108,467,-91,32767,32767,32767
8790,-873,0,384,-71,433,99,32767,32767,32767
8890,-917,10,320,-262,644,-88,32767,32767,32767
8990,-890,-42,268,-194,221,-113,32767,32767,32767
9090,-1000,-37,255,9,-598,-19,32767,32767,32767
10390,-307,-127,966,60,-919,-286,32767,32767,32767
10500,-227,-137,878,-227,-252,903,32767,32767,32767
10590,-390,-82,931,14,425,521,32767,32767,32767
10790,-401,-172,948,48,379,369,32767,32767,32767
11090,-377,-5,814,797,210,1385,32767,32767,32767
11190,-356,113,922,1324,365,1442,32767,32767,32767
11290,-395,173,971,645,309,562,32767,32767,32767
11390,-492,356,884,-5,-196,-28,32767,32767,32767
11490,-447,266,916,146,-394,-130,32767,32767,32767
11600,-328,371,816,285,-699,222,32767,32767,32767
11700,-281,374,829,380,-177,5,32767,32767,32767
11790,-371,498,863,270,-360,90,32767,32767,32767
11890,-287,334,958,-95,-123,-218,32767,32767,32767
11990,-257,483,895,429,-1352,-1311,32767,32767,32767
12390,47,117,926,-1506,-311,626,32767,32767,32767
12690,55,126,1104,-1968,-1832,-2320,32767,32767,32767
6380,651,383,923,-1404,-78,1157,32767,32767,32767
6480,603,366,889,-57,94,-69,32767,32767,32767
6570,500,406,774,-439,-375,-129,32767,32767,32767
6670,408,407,768,-351,-41,-97,32767,32767,32767
6770,504,415,846,-456,-155,262,32767,32767,32767
6870,524,377,804,-202,-19,114,32767,32767,32767
6970,462,345,743,-427,-107,474,32767,32767,32767
7070,621,263,842,-764,0,444,32767,32767,32767
7170,605,200,852,-590,116,31,32767,32767,32767
7270,536,262,910,-487,-32,-682,32767,32767,32767
7370,430,306,881,-290,69,-347,32767,32767,32767
7470,465,259,919,-30,396,-364,32767,32767,32767
7570,508,260,903,-409,-84,-272,32767,32767,32767
7670,445,260,832,-288,216,186,32767,32767,32767
7770,412,233,941,-435,629,161,32767,32767,32767
7870,377,244,916,-336,-113,-81,32767,32767,32767
7970,378,204,926,-286,-201,7,32767,32767,32767
8070,557,162,974,-991,-995,-21,32767,32767,32767
8170,475,181,866,-264,-1090,-366,32767,32767,32767
9670,1126,394,-50,486,-179,800,32767,32767,32767
9770,1009,94,-120,-587,-40,2797,32767,32767,32767
9870,1044,162,-107,-795,-283,-916,32767,32767,32767
9970,905,276,-99,-213,-1737,325,32767,32767,32767
10070,932,119,-301,-677,-715,-246,32767,32767,32767
10170,904,281,-342,-646,-1702,-686,32767,32767,32767
10270,708,501,-506,-1930,-2874,-1902,32767,32767,32767
10370,445,783,-577,-2838,-3018,-4926,32767,32767,32767
10470,-57,958,-475,-408,-3858,-585,32767,32767,32767
10870,-111,882,-467,-199,323,-338,32767,32767,32767
10970,-79,1014,-407,-983,-122,-1306,32767,32767,32767
11070,-327,929,-474,-782,-534,-566,32767,32767,32767
11180,-363,872,-299,-812,-914,-324,32767,32767,32767
11280,-369,888,-208,-826,-1167,-106,32767,32767,32767
11370,-280,933,44,-818,-1169,79,32767,32767,32767
11470,-536,753,-31,-336,-287,-1481,32767,32767,32767
11570,-477,827,-8,-314,-568,-1029,32767,32767,32767
11670,-542,838,33,-933,-418,346,32767,32767,32767
11770,-583,913,192,-1179,-472,1805,32767,32767,32767
11870,-387,924,297,-1474,-698,1527,32767,32767,32767
11970,-163,853,392,-914,-999,1414,32767,32767,32767
12070,4,854,423,-254,-325,641,32767,32767,32767
12170,-35,863,386,246,-95,-147,32767,32767,32767
12270,-58,967,409,279,-176,-997,32767,32767,32767
12370,-64,945,368,-101,23,-2000,32767,32767,32767
12470,-429,865,355,-396,411,-2092,32767,32767,32767
12570,-541,690,300,-365,-249,-1202,32767,32767,32767
12670,-559,722,386,-371,216,-358,32767,32767,32767
12770,-559,769,335,-351,-134,665,32767,32767,32767
12870,-329,871,280,-856,-702,1674,32767,32767,32767
12970,-226,828,508,-858,-1222,4035,32767,32767,32767
13070,148,800,589,-706,-870,2643,32767,32767,32767
13170,489,712,526,-513,-620,910,32767,32767,32767
13270,515,695,523,-206,-450,367,32767,32767,32767
13370,523,742,524,-195,-375,160,32767,32767,32767
13470,528,655,505,-114,-190,71,32767,32767,32767
13570,560,690,504,16,-92,-21,32767,32767,32767
13670,586,765,473,2,94,-143,32767,32767,32767
13770,525,744,467,-46,246,212,32767,32767,32767
13870,526,741,465,162,483,499,32767,32767,32767
13970,485,778,486,-106,277,445,32767,32767,32767
14070,519,696,475,-371,-214,644,32767,32767,32767
14170,590,629,490,-243,-179,303,32767,32767,32767
14270,668,620,508,-5,-129,305,32767,32767,32767
14370,704,652,465,214,541,-744,32767,32767,32767
14470,440,784,391,422,300,-1611,32767,32767,32767
14570,312,922,431,146,462,-2359,32767,32767,32767
14670,68,960,414,-388,520,-1221,32767,32767,32767
14770,42,893,409,-534,191,35,32767,32767,32767
14870,-33,855,448,-360,-144,-371,32767,32767,32767
14970,-31,875,378,170,-678,-1409,32767,32767,32767
15070,-182,953,399,319,-596,-1994,32767,32767,32767
15170,-349,875,391,-15,-107,-984,32767,32767,32767
15270,-416,832,364,-179,0,-576,32767,32767,32767
15370,-415,851,345,-310,174,26,32767,32767,32767
15470,-386,834,343,-50,-62,745,32767,32767,32767
15570,-315,868,355,-156,-43,-87,32767,32767,32767
15670,-462,869,405,-529,-2026,-1467,32767,32767,32767
15780,24,791,425,660,-1135,1447,32767,32767,32767
15880,-69,885,312,-834,1645,-1065,32767,32767,32767
15970,-435,774,367,-977,2180,1115,32767,32767,32767
16070,-582,890,326,-239,667,552,32767,32767,32767
16170,-188,844,363,-749,41,722,32767,32767,32767
16570,-341,792,323,659,567,-1092,32767,32767,32767
16670,-506,845,146,789,765,-855,32767,32767,32767
16770,-691,887,36,1618,2218,-156,32767,32767,32767
16870,-422,784,-250,861,1207,1007,32767,32767,32767
16970,-377,804,-345,302,165,382,32767,32767,32767
17070,-448,830,-357,-466,-65,9,32767,32767,32767
17170,-318,774,-241,-281,-724,319,32767,32767,32767
17270,-327,908,-188,-562,-555,253,32767,32767,32767
17370,-308,964,-154,-367,-154,294,32767,32767,32767
17470,-298,864,-121,-364,-65,386,32767,32767,32767
17570,-320,932,-188,-187,45,68,32767,32767,32767
17670,-302,1027,-159,20,-8,-264,32767,32767,32767
17770,-309,835,-239,98,194,-864,32767,32767,32767
17870,-456,786,-323,50,-27,-19,32767,32767,32767
17970,-365,830,-224,-389,121,-760,32767,32767,32767
18070,-493,915,-294,-206,126,-87,32767,32767,32767
18470,-482,704,-320,974,-963,-2650,32767,32767,32767
18570,-801,262,-325,579,-301,-632,32767,32767,32767
18670,-779,450,-416,485,-360,-617,32767,32767,32767
18770,-793,470,-453,-306,48,96,32767,32767,32767
18870,-560,405,-313,-486,-168,-755,32767,32767,32767
18970,-856,356,-419,-322,190,-290,32767,32767,32767
19070,-768,319,-355,-222,119,-735,32767,32767,32767
19270,-773,305,-376,-313,-27,-28,32767,32767,32767
19370,-820,256,-410,-338,128,-313,32767,32767,32767
19470,-853,236,-375,-300,582,219,32767,32767,32767
19570,-821,140,-483,-383,393,-599,32767,32767,32767
19670,-829,182,-530,-1322,111,-42,32767,32767,32767
20080,-858,45,-459,-299,319,725,32767,32767,32767
21780,-1027,-198,-108,-8907,3693,69,32767,32767,32767
21870,9,985,137,-4108,4665,1832,32767,32767,32767
21970,-558,311,-915,5206,-1132,-1743,32767,32767,32767
22070,-590,-206,-736,5638,-1263,-391,32767,32767,32767
22170,-886,-717,-745,-3875,703,-773,32767,32767,32767
22270,-632,-333,-954,650,-871,374,32767,32767,32767
22370,-276,412,-469,-1622,460,1643,32767,32767,32767
22470,-825,-161,-802,-6854,1453,-35,32767,32767,32767
22570,17,893,88,-6209,227,1368,32767,32767,32767
22670,-657,1169,-246,-2108,1138,-1777,32767,32767,32767
22770,-772,752,-36,-1157,1031,-3250,32767,32767,32767
25770,-1104,-35,-222,-365,-366,86,32767,32767,32767
25880,-919,53,-57,-251,-1469,778,32767,32767,32767
25970,-852,20,140,105,-858,480,32767,32767,32767
26070,-943,151,116,426,-575,468,32767,32767,32767
26170,-916,295,104,244,332,-390,32767,32767,32767
26270,-954,475,-24,-1231,497,86,32767,32767,32767
26370,-879,333,-155,-249,803,-1826,32767,32767,32767
26470,-774,-134,-79,83,160,-2248,32767,32767,32767
26570,-899,-439,0,-370,-155,-1373,32767,32767,32767
26670,-876,-547,36,-295,-564,-410,32767,32767,32767
26770,-916,-443,111,921,-1336,117,32767,32767,32767
26870,-868,-240,247,197,-1886,1386,32767,32767,32767
26970,-801,-135,352,-164,-1118,1403,32767,32767,32767
27070,-803,-216,535,-2120,-283,4872,32767,32767,32767
27170,-80,586,671,-2328,-1503,10054,32767,32767,32767
27270,-57,569,737,-1941,147,-163,32767,32767,32767
27370,-91,701,782,427,-807,541,32767,32767,32767
27470,77,695,851,-256,-39,987,32767,32767,32767
27570,-69,691,760,99,937,-452,32767,32767,32767
27670,-153,724,702,807,925,-143,32767,32767,32767
27770,-124,817,582,604,540,470,32767,32767,32767
27870,-293,750,688,-1414,17,-1345,32767,32767,32767
27970,-275,642,585,-618,445,-1661,32767,32767,32767
28070,-349,574,634,425,11,-184,32767,32767,32767
28170,-437,641,633,382,-351,425,32767,32767,32767
28270,-347,792,607,-232,-923,364,32767,32767,32767
28370,-242,637,603,-984,-1111,-550,32767,32767,32767
28470,-181,638,780,-72,-1210,288,32767,32767,32767
28570,110,646,846,-326,-1610,1401,32767,32767,32767
28670,184,589,743,-912,-860,721,32767,32767,32767
28770,118,621,808,-539,-874,296,32767,32767,32767
28870,254,576,815,-108,-20,-301,32767,32767,32767
28970,174,598,779,209,259,-171,32767,32767,32767
29070,157,668,789,565,596,-78,32767,32767,32767
29170,181,676,734,79,-15,290,32767,32767,32767
29270,265,708,802,-763,-502,730,32767,32767,32767
29370,549,518,895,-2774,-2889,5444,32767,32767,32767
29670,986,-247,101,-1603,-2749,509,32767,32767,32767
29770,984,-535,47,-3408,450,1896,32767,32767,32767
29870,690,-226,-83,-2314,1288,3682,32767,32767,32767
29970,845,-759,70,-629,1166,4456,32767,32767,32767
30070,346,-817,16,963,49,285,32767,32767,32767
30180,332,-852,143,-156,-326,1069,32767,32767,32767
30280,264,-1023,144,21,-310,978,32767,32767,32767
30380,98,-1078,323,237,173,1016,32767,32767,32767
30470,30,-983,201,-719,1218,-28,32767,32767,32767
30570,110,-962,-39,-1043,670,-403,32767,32767,32767
30670,92,-996,83,-417,145,424,32767,32767,32767
30770,185,-856,50,-934,-683,-1232,32767,32767,32767
30870,163,-1011,-110,87,-77,-215,32767,32767,32767
30970,166,-1019,-57,77,-148,15,32767,32767,32767
31070,225,-1011,58,563,-657,197,32767,32767,32767
31170,187,-945,112,-252,-1540,-656,32767,32767,32767
31270,180,-944,30,-180,-1052,-75,32767,32767,32767
31370,290,-949,28,-168,-1476,549,32767,32767,32767
31670,147,-981,-55,-219,113,150,32767,32767,32767
31770,18,-1018,-3,-224,165,518,32767,32767,32767
31880,131,-997,-5,86,727,-475,32767,32767,32767
31970,176,-960,10,-352,-328,-49,32767,32767,32767
32070,117,-987,5,-541,-150,463,32767,32767,32767
32170,56,-970,-16,-107,321,331,32767,32767,32767
32470,41,-995,-49,-413,-518,-84,32767,32767,32767
33150,52,-996,-17,-413,-325,97,32767,32767,32767
33470,10,-975,-69,-437,-90,117,32767,32767,32767
33570,75,-988,-108,-364,329,349,32767,32767,32767
33670,-6,-976,-150,45,434,274,32767,32767,32767
33770,-43,-996,-34,-88,78,85,32767,32767,32767
33870,-80,-972,-93,-154,351,220,32767,32767,32767
33970,-96,-991,3,-195,197,113,32767,32767,32767
34070,-78,-971,-123,-362,-39,-99,32767,32767,32767
34880,-202,-983,-188,121,-6,-2,32767,32767,32767
39770,-96,-974,-295,121,62,-374,32767,32767,32767
39970,41,-956,-173,-326,36,-75,32767,32767,32767
40070,-75,-972,-175,-187,-40,111,32767,32767,32767
40170,163,-1056,-173,-253,53,-193,32767,32767,32767
40470,-88,-956,-219,-209,-78,336,32767,32767,32767
40570,-121,-877,-205,-121,-223,363,32767,32767,32767
40670,-166,-1039,-232,-203,-65,374,32767,32767,32767
40770,-151,-985,-201,-64,315,-81,32767,32767,32767
40870,-142,-930,-178,-396,315,-307,32767,32767,32767
40970,-51,-834,-140,-365,103,-160,32767,32767,32767
41070,-82,-946,-180,-272,-13,-126,32767,32767,32767
41170,-12,-959,-275,-504,-571,131,32767,32767,32767
41270,-157,-902,-303,-575,-326,-88,32767,32767,32767
41370,-95,-928,-250,-158,-186,-92,32767,32767,32767
41470,-54,-845,-231,-115,110,-174,32767,32767,32767
41570,-103,-946,-244,81,-156,65,32767,32767,32767
41670,-89,-954,-208,-89,-44,-147,32767,32767,32767
41770,-54,-982,-186,-131,222,-224,32767,32767,32767
41870,-40,-943,-248,-163,9,-40,32767,32767,32767
41970,-64,-977,-201,-182,-176,-308,32767,32767,32767
42070,-23,-980,-211,-295,-882,-688,32767,32767,32767
42170,70,-977,-187,-402,-237,-310,32767,32767,32767
42270,46,-973,-206,-253,-3,-93,32767,32767,32767
42370,65,-973,-184,-305,-563,-214,32767,32767,32767
42470,76,-936,-248,-84,-149,-105,32767,32767,32767
42570,76,-963,-284,-286,-51,113,32767,32767,32767
42670,114,-983,-258,-304,-216,206,32767,32767,32767
42770,-9,-1013,-316,-632,-191,148,32767,32767,32767
42870,-87,-969,-319,-802,694,284,32767,32767,32767
42970,124,-677,-250,-504,298,156,32767,32767,32767
43070,61,-827,-224,-438,1831,1524,32767,32767,32767
43170,-117,-929,-389,-703,677,280,32767,32767,32767
43270,-35,-933,-369,-182,1690,-198,32767,32767,32767
43370,149,-794,-420,419,1331,210,32767,32767,32767
43470,23,-854,-292,614,991,649,32767,32767,32767
43570,204,-941,-365,-164,105,261,32767,32767,32767
43670,-68,-1004,-253,-269,-93,250,32767,32767,32767
43780,-20,-1025,-371,-421,-80,39,32767,32767,32767
43880,56,-962,-304,-313,-183,78,32767,32767,32767
43980,-52,-955,-420,-194,66,51,32767,32767,32767
44070,1,-988,-272,86,-16,40,32767,32767,32767
44170,-199,-1098,-270,-112,424,47,32767,32767,32767
44270,205,-819,-290,-460,-11,-235,32767,32767,32767
44370,18,-805,-115,-246,36,175,32767,32767,32767
44470,8,-917,-339,-300,73,55,32767,32767,32767
44570,-22,-774,-404,-194,54,-126,32767,32767,32767
44670,121,-1014,-375,-72,-143,-94,32767,32767,32767
44770,-95,-951,-238,-265,-84,51,32767,32767,32767
44870,130,-868,-411,-339,60,-129,32767,32767,32767
44970,-5,-957,-353,-12,131,-156,32767,32767,32767
45170,-9,-1011,-472,-307,209,568,32767,32767,32767
45270,36,-954,-312,-356,-9,-183,32767,32767,32767
45370,-7,-882,-266,-230,88,-216,32767,32767,32767
45470,125,-913,-377,29,6,79,32767,32767,32767
45570,-51,-952,-212,414,-233,252,32767,32767,32767
45670,-24,-1002,-66,91,-160,224,32767,32767,32767
45770,-52,-978,-131,-780,-168,-497,32767,32767,32767
45870,136,-907,-328,-508,-124,-284,32767,32767,32767
45970,166,-946,-318,79,-542,578,32767,32767,32767
46070,-244,-963,-160,-207,-764,-45,32767,32767,32767
46170,41,-961,-254,-247,-23,-311,32767,32767,32767
46270,-34,-944,-135,-265,-37,-115,32767,32767,32767
46370,177,-968,-256,-97,-50,248,32767,32767,32767
46470,-11,-958,-314,-339,-30,-71,32767,32767,32767
46570,56,-952,-276,-146,-35,-12,32767,32767,32767
46670,66,-973,-217,-251,-133,61,32767,32767,32767
46770,87,-952,-278,-311,-210,178,32767,32767,32767
46870,-121,-964,-232,-296,-219,42,32767,32767,32767
46970,27,-956,-227,-113,-13,176,32767,32767,32767
47070,-60,-952,-227,-222,-4,-141,32767,32767,32767
47170,62,-923,-166,-31,7,-129,32767,32767,32767
47670,-15,-994,-211,-207,-19,189,32767,32767,32767
47870,-38,-958,-227,-203,-113,143,32767,32767,32767
47970,-47,-970,-208,-317,-70,13,32767,32767,32767
48070,-108,-881,-176,-431,-1,-17,32767,32767,32767
48180,-110,-1113,-388,-409,106,-550,32767,32767,32767
48280,7,-866,-212,120,16,305,32767,32767,32767
48370,-188,-999,-176,194,-593,854,32767,32767,32767
48470,-109,-1282,-303,-510,68,-491,32767,32767,32767
48570,-166,-1209,-334,-766,-1024,2198,32767,32767,32767
48670,-349,-764,-92,-509,-1421,2202,32767,32767,32767
48770,-681,-236,229,1410,-1652,3707,32767,32767,32767
48870,-710,-239,142,1640,-1157,2224,32767,32767,32767
48970,-699,-312,200,777,138,-580,32767,32767,32767
49370,-836,-488,204,223,41,-380,32767,32767,32767
49470,-819,-349,118,442,829,217,32767,32767,32767
49570,-811,-444,189,1144,173,-188,32767,32767,32767
49670,-685,-535,187,1125,265,149,32767,32767,32767
50270,-1205,289,160,-1972,-2162,-104,32767,32767,32767
50370,-950,56,257,-550,512,-297,32767,32767,32767
50470,-896,61,123,4,629,613,32767,32767,32767
50570,-946,145,133,-793,-358,264,32767,32767,32767
50670,-944,125,150,-233,-41,138,32767,32767,32767
50770,-933,138,141,-206,-79,103,32767,32767,32767
50870,-812,178,227,-156,-144,40,32767,32767,32767
50970,-987,52,186,-220,100,-702,32767,32767,32767
51070,-907,64,138,-213,-311,18,32767,32767,32767
51470,-947,96,145,196,264,738,32767,32767,32767
51570,-909,80,66,-628,279,59,32767,32767,32767
51670,-959,153,116,-1042,-311,814,32767,32767,32767
51770,-888,248,188,-806,-111,979,32767,32767,32767
51880,-861,298,184,-1033,0,1276,32767,32767,32767
51970,-799,393,207,-1013,-430,2172,32767,32767,32767
52670,842,877,44,-2038,-1790,-2169,32767,32767,32767
52780,288,926,-230,-2394,-5140,-4199,32767,32767,32767
52880,-461,1121,-125,-2754,-4486,-5988,32767,32767,32767
53470,-483,438,663,766,-38,1885,32767,32767,32767
53570,-836,256,594,-2023,1922,-2469,32767,32767,32767
53670,-856,-163,416,-1603,783,-1252,32767,32767,32767
53770,-829,-60,482,-25,154,420,32767,32767,32767
53870,-846,-91,471,-195,-151,32,32767,32767,32767
53970,-843,-94,462,-224,-60,-2,32767,32767,32767
54070,-844,-97,461,-227,-43,2,32767,32767,32767
54170,-843,-96,457,-226,-44,5,32767,32767,32767
54270,-842,-96,458,-226,-45,3,32767,32767,32767
54370,-843,-96,460,-226,-46,4,32767,32767,32767
54470,-843,-95,460,-226,-45,4,32767,32767,32767
54570,-843,-96,460,-226,-45,4,32767,32767,32767
54670,-843,-96,460,-226,-46,4,32767,32767,32767
54770,-843,-96,460,-226,-46,4,32767,32767,32767
54870,-843,-95,459,-226,-45,4,32767,32767,32767
54970,-843,-96,459,-224,-46,4,32767,32767,32767
55070,-843,-96,460,-224,-46,4,32767,32767,32767
55170,-843,-96,459,-224,-46,4,32767,32767,32767
55270,-843,-96,459,-224,-46,4,32767,32767,32767
